"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"19";"2024-02-12 12:35:00";"Fighter Pullup Challenge #6";"3600";"Pull Up";"5";"0.0";"6";"";"";"";"";""
"20";"2024-02-14 12:36:00";"Fighter Pullup Challenge #7";"3600";"Pull Up";"1";"0.0";"7";"";"";"";"";""
"20";"2024-02-14 12:36:00";"Fighter Pullup Challenge #7";"3600";"Pull Up";"2";"0.0";"7";"";"";"";"";""
"20";"2024-02-14 12:36:00";"Fighter Pullup Challenge #7";"3600";"Pull Up";"3";"0.0";"6";"";"";"";"";""
"20";"2024-02-14 12:36:00";"Fighter Pullup Challenge #7";"3600";"Pull Up";"4";"0.0";"6";"";"";"";"";""
"20";"2024-02-14 12:36:00";"Fighter Pullup Challenge #7";"3600";"Pull Up";"5";"0.0";"6";"";"";"";"";""
"21";"2024-02-14 19:27:33";"Strength 24";"4959";"Power Snatch (Barbell)";"1";"30.0";"1";"";"";"";"";""
"21";"2024-02-14 19:27:33";"Strength 24";"4959";"Power Snatch (Barbell)";"2";"50.0";"1";"";"";"";"";""
"21";"2024-02-14 19:27:33";"Strength 24";"4959";"Power Snatch (Barbell)";"3";"50.0";"1";"";"";"";"";""
"21";"2024-02-14 19:27:33";"Strength 24";"4959";"Power Snatch (Barbell)";"4";"50.0";"1";"";"";"";"";""
"21";"2024-02-14 19:27:33";"Strength 24";"4959";"Power Snatch (Barbell)";"5";"50.0";"1";"";"";"";"";""
